,sentence,relevant,chexpert_label,keyword_label,related_rad_label,other_finding
374,Stable enlargement of the cardiac silhouette accompanied by pulmonary vascular congestion superimposed upon chronic upper zone vascular redistribution in this patient with history of mitral regurgitation,1.0,1.0,1.0,1.0,1.0
375,"Continued improvement and nonspecific left retrocardiac opacity, with no new foci of consolidation to suggest a note new source of infection",0.0,,,,1.0
376,Pulmonary vascular congestion is not significantly changed,1.0,1.0,1.0,1.0,
377,Marked cardiomegaly is unchanged,0.0,,,,1.0
378,There is no pneumothorax,0.0,,,,0.0
379,Mediastinal contours are stable,0.0,,,,1.0
380,No significant interval change,1.0,,,,0.0
381,"Endotracheal tube should be pulled back 3-4 cm for ideal positioning, as it not terminates just above the carina",0.0,,,,0.0
382,Dense retrocardiac opacity could reflect atelectasis or consolidation,0.0,,,,1.0
383,Endotracheal tube terminates 9 mm above the carina,0.0,,,,0.0
384,Dense retrocardiac opacity persists,0.0,,,,
385,"In comparison to previous radiograph of 1 day earlier, endotracheal tube now terminates 2 cm above the carinal with the neck in a flexed position",0.0,,,,0.0
386,There is otherwise no relevant change in the appearance of the chest since recent study,1.0,,,,0.0
387,"In comparison with the study of ___, the endotracheal tube has been removed",0.0,,,,0.0
388,Continued enlargement of the cardiac silhouette with evidence of elevated pulmonary venous pressure,0.0,,,,1.0
389,"Retrocardiac opacification again is consistent with substantial volume loss in the left lower lobe, probably associated with some pleural fluid",0.0,,,1.0,1.0
390,Other monitoring and support devices are unchanged,0.0,,,,0.0
391,Radiographs performed for assessment of a Dobhoff tube placement demonstrates tip of tube terminating in the region of the gastroduodenal junction,0.0,,,,0.0
392,"A comparison the ___ chest radiograph, cardiomegaly and increased pulmonary vascularity persist",0.0,,,1.0,1.0
393,"Small bilateral pleural effusions are new, accompanied by bibasilar atelectasis",0.0,,,,1.0
394,Comparison to ___,0.0,,,,0.0
395,No relevant change,1.0,,,,0.0
396,Both monitoring and support devices are in stable position,0.0,,,,0.0
397,No pneumothorax or other complications,0.0,,,,0.0
398,Minimally increasing retrocardiac atelectasis,0.0,,,,1.0
399,Otherwise unchanged radiograph,1.0,,,,0.0
400,"In comparison with the study of ___, there is continued opacification at the left base silhouetting the hemidiaphragm, consistent with volume loss in the left lower lobe and pleural effusion",0.0,,,1.0,1.0
401,No convincing evidence of new consolidation,0.0,,,,1.0
402,The view of the abdomen shows the tip of the Dobhoff tube in the distal stomach,0.0,,,,0.0
403,Right IJ catheter extends to the mid to lower portion of the SVC,0.0,,,,0.0
404,Limited assessment of the posterior chest due to overlying artifact,0.0,,,,0.0
405,"Allowing for this, no pneumonia identified",0.0,,,,0.0
406,"If clinically indicated, a repeat lateral view could be attempted at no additional charge to the patient",0.0,,,,0.0
407,Mild prominence of vessels at the right lung base medially is thought to represent artifact due to rotation,0.0,,,,
408,Differential includes atelectasis and bronchiectasis,0.0,,,,1.0
409,The appearance is less pronounced than on radiographs from ___ and ___,0.0,,,,0.0
410,"Chain sutures noted at the right lung apex, compatible with prior surgery",0.0,,,,0.0
411,Aortic and coronary artery calcification noted,0.0,,,,
412,Vascular calcifications also seen adjacent to the distal humerus,0.0,,,,
413,Suspected bilateral humeral head osteonecrosis,0.0,,,,0.0
414,"In comparison with the study of ___, there is little overall change",1.0,,,,0.0
415,Mild hyperexpansion of the lungs again is seen with the cardiac silhouette at the upper limits of normal in size,0.0,,,,1.0
416,No vascular congestion or acute focal pneumonia or pleural effusion,1.0,0.0,0.0,,0.0
417,Lung volumes are low,0.0,,,,0.0
418,"Retro-cardiac opacity likely represents atelectasis, although infectious process can be considered",0.0,,,,1.0
419,Cardiomediastinal silhouette is mildly enlarged,0.0,,,,1.0
420,Patient is status post median sternotomy,0.0,,,,0.0
421,No pleural effusion or pneumothorax is identified,0.0,,,,0.0
422,The lungs are well expanded,0.0,,,,0.0
423,"There is interval development of asymmetric mild pulmonary edema, right greater than left",1.0,1.0,1.0,,
424,"Alternatively, this could be a symmetric pulmonary edema with a right lower lobe pneumonia, but this is less likely",1.0,1.0,1.0,,1.0
425,There is no pneumothorax or pleural effusion,0.0,,,,0.0
426,Cardiomediastinal silhouette is unremarkable,0.0,,,,0.0
427,"Acute asymmetric pulmonary edema, right greater than left, more likely than mild edema and concurrent right pneumonia",1.0,1.0,1.0,,1.0
428,NG tube is in adequate position in the stomach,0.0,,,,0.0
429,ET tube ends 3,0.0,,,,0.0
430,6 cm above the carina,0.0,,,,0.0
431,Pulmonary edema has improved and is now minimal,1.0,1.0,1.0,,
432,Bilateral mild-to-moderate pleural effusion is new with bibasilar atelectasis,0.0,,,,1.0
433,Superimposed infection cannot be excluded in appropriate clinical setting,0.0,,,,1.0
434,Two frontal images of the chest demonstrate low lung volumes likely due to poor inspiration,0.0,,,,0.0
435,Vascular crowding and minimal pulmonary edmea has resolved from previous exam,0.0,,,,0.0
436,Left basilar atelectasis has improved,0.0,,,,1.0
437,Bilateral pleural effusions are again seen,0.0,,,,1.0
438,Cardiomediastinal silhouette is unchanged,0.0,,,,1.0
439,There is no pneumothorax,0.0,,,,0.0
440,Support and maintenance devices are unchanged,0.0,,,,0.0
441,Resolved pulmonary edema,1.0,1.0,0.0,,
442,Improving left basilar atelectasis,0.0,,,,1.0
443,Bilateral small pleural effusions,0.0,,,,1.0
444,ET tube is 4,0.0,,,,0.0
445,5 cm above the Carina,0.0,,,,0.0
446,NG tube tip is in the stomach,0.0,,,,0.0
447,Hardware projects over the lumbar spine with associated skin ___,0.0,,,,0.0
448,Sternal wires are again visualized,0.0,,,,0.0
449,Lung volumes are low and there is volume loss at the bases,0.0,,,,
450,Left lower lobe volume loss/ infiltrate/effusion,0.0,,,,1.0
451,Compared to the prior study there is no significant interval change,1.0,,,,0.0
452,No change,1.0,,,,0.0
453,The NG tube tip is in the stomach,0.0,,,,0.0
454,NO significant change,1.0,,,,0.0
455,The endotracheal tube terminates 3 cm above the carina,0.0,,,,0.0
456,An enteric tube courses out of the field of view of this exam,0.0,,,,0.0
457,"A left chest AICD device has leads terminating in the right atrium, right ventricle, and coronary sinus",0.0,,,,0.0
458,There is moderate pulmonary edema,1.0,1.0,1.0,,
459,The heart is moderately enlarged,0.0,,,,1.0
460,There is no pneumothorax,0.0,,,,0.0
461,Surgical clips are seen in the upper abdomen,0.0,,,,0.0
462,Calcifications of the aortic arch and tracheobronchial tree are present,0.0,,,,
463,Endotracheal tube terminating 3 cm above the carina in appropriate position,0.0,,,,0.0
464,Moderate cardiomegaly and pulmonary edema,1.0,1.0,1.0,,1.0
465,"The endotracheal tube remains at the carina, and should be withdrawn by 2-3 cm for more optimal positioning within the lower trachea",0.0,,,,0.0
466,A left pectoral AICD remains in place,0.0,,,,0.0
467,Other support devices including a right IJ central venous catheter and nasogastric tube remain in satisfactory position,0.0,,,,0.0
468,There is no pneumothorax,0.0,,,,0.0
469,The lungs are clear,1.0,,0.0,,0.0
470,Moderate cardiomegaly is stable,0.0,,,,1.0
471,Metallic right upper quadrant surgical clips denote prior cholecystectomy,0.0,,,,0.0
472,Low-lying ET tube should be withdrawn by 2-3 cm for more optimal positioning within the lower trachea,0.0,,,,0.0
473,Clear lungs,1.0,,0.0,,0.0
474,Stable moderate cardiomegaly,0.0,,,,1.0
475,Heart is upper limits of normal in size accompanied by pulmonary vascular congestion without overt pulmonary edema,1.0,1.0,1.0,1.0,
476,Worsening left retrocardiac opacity could reflect atelectasis or developing pneumonia,0.0,,,,1.0
477,Note is also made of a small left pleural effusion,0.0,,,,1.0
478,"In comparison with the study of ___, there are lower lung volumes",0.0,,,,0.0
479,"Continued enlargement of the cardiac silhouette, probably with mild elevation of pulmonary venous pressure",0.0,,,,1.0
480,"Hazy opacification in the right hemithorax is again seen, consistent with layering pleural effusion",0.0,,,1.0,1.0
481,"An area of more confluent opacification is suggested right above the minor fissure, raising the possibility of developing consolidation in the appropriate clinical setting",0.0,,,1.0,1.0
482,Poor definition of the left hemidiaphragm again is consistent with pleural fluid and volume loss in the left lower lobe,0.0,,,,1.0
483,"In comparison with the study ___ ___, the patient has taken a much better inspiration",0.0,,,,0.0
484,"There is enlargement of the cardiac silhouette with left ventricular prominence, though the pulmonary vascularity is now essentially within normal limits and there is no definite evidence of right pleural effusion",0.0,,,1.0,1.0
485,"Continued opacification the left base silhouetting the hemidiaphragm, most likely reflecting volume loss left lower lobe pleural fluid",0.0,,,1.0,1.0
486,Compared to the prior study there is no significant interval change,1.0,,,,0.0
487,No change,1.0,,,,0.0
488,"As compared to the previous image, the position of the Swan-Ganz catheter is unchanged",0.0,,,,0.0
489,It is located in the peripheral parts of the right pulmonary artery,0.0,,,,0.0
490,The device could be pulled back by approximately 4 cm,0.0,,,,0.0
491,Unchanged appearance of the cardiac silhouette,1.0,,,,1.0
492,No pneumothorax,0.0,,,,0.0
493,No overt pulmonary edema,1.0,0.0,0.0,,0.0
494,"In comparison with the study of ___, the Swan-Ganz catheter has been pulled back so that it now lies within the right pulmonary artery at the outer mediastinal level",0.0,,,,0.0
495,Other monitoring and support devices are unchanged,0.0,,,,0.0
496,Continued enlargement of the cardiac silhouette without appreciable vascular congestion,1.0,0.0,0.0,,1.0
497,Mild increased opacification in the retrocardiac region could reflect some volume loss in the left lower lobe,0.0,,,1.0,1.0
498,"As compared to ___, no relevant change is seen",1.0,,,,0.0
499,The Swan-Ganz catheter and the pacemaker leads are in constant position,0.0,,,,0.0
500,Moderate cardiomegaly no overt pulmonary edema,1.0,0.0,0.0,,1.0
501,Retrocardiac atelectasis,0.0,,,,1.0
502,"No pneumonia, no pleural effusions",0.0,,,,0.0
503,"As compared to ___, 13:00, the Swan-Ganz catheter has been removed",0.0,,,,0.0
504,The left internal jugular vein catheter as well as the left pectoral pacemaker remain in unchanged position,0.0,,,,0.0
505,Unchanged moderate cardiomegaly with retrocardiac atelectasis,0.0,,,,1.0
506,No pulmonary edema,1.0,0.0,0.0,,0.0
507,No pleural effusions,0.0,,,,0.0
508,"In comparison with the study of ___, there is little change",1.0,,,,0.0
509,Again there is substantial enlargement of the cardiac silhouette consistent with the diagnosis of cardiomyopathy,0.0,,,,1.0
510,No appreciable vascular congestion or acute focal pneumonia,1.0,0.0,0.0,,0.0
511,The left IJ catheter has been removed,0.0,,,,0.0
512,Other monitoring and support devices are stable,0.0,,,,0.0
513,The right-sided Swan-___ catheter is in good position,0.0,,,,0.0
514,The intra-aortic balloon pump is approximately 1 cm from the of the aortic arch,0.0,,,,0.0
515,As compared to chest radiograph from the same day the Swan-Ganz catheter tip has been advanced and now projects in the region of the right pulmonary artery remains in good position,0.0,,,,0.0
516,The IABP is approximately 1,0.0,,,,0.0
517,7 Cm from the superior aortic arch,0.0,,,,0.0
518,Moderate cardiomegaly and associated small to moderate left pleural effusion is unchanged,0.0,,,,1.0
519,Swan-Ganz catheter tip has been advanced and now projects in the region of the right pulmonary artery remains in good position,0.0,,,,0.0
520,No significant interval change when compared to the prior study,1.0,,,,0.0
521,No relevant change as compared to ___,1.0,,,,0.0
522,"The monitoring and support devices are in unchanged position, with the exception of the aortic balloon pump that has been minimally pulled back",0.0,,,,0.0
523,The Swan-Ganz catheter has been minimally advanced,0.0,,,,0.0
524,The device should be pulled back by approximately 3 cm,0.0,,,,0.0
525,Unchanged retrocardiac atelectasis,0.0,,,,1.0
526,Unchanged mild pulmonary edema and moderate cardiomegaly,1.0,1.0,1.0,,1.0
527,"As compared to the previous image, the Swan-Ganz catheter has been pulled back",0.0,,,,0.0
528,The tip of the catheter now projects over the outflow tract of the right ventricle,0.0,,,,0.0
529,Minimally improved ventilation at the left lung base,0.0,,,,0.0
530,Unchanged mild pulmonary edema and moderate cardiomegaly,1.0,1.0,1.0,,1.0
531,The aortic balloon pump is in unchanged correct position,0.0,,,,0.0
532,"As compared to the previous image, the intra-aortic balloon pump has been further pulled back",0.0,,,,0.0
533,The tip of the pump is now projecting almost 4 cm be low the upper most portion of the aortic arch,0.0,,,,0.0
534,Mild pulmonary edema persists,1.0,1.0,1.0,,
535,Moderate cardiomegaly with retrocardiac atelectasis,0.0,,,,1.0
536,No pneumonia,0.0,,,,0.0
537,"As compared to chest radiograph from 1 day prior, the IABP has been removed",0.0,,,,0.0
538,The remaining support devices are unchanged,0.0,,,,0.0
539,Interval improvement in the pulmonary vascular congestion,1.0,1.0,1.0,1.0,
540,Moderate cardiomegaly with interval decrease in the pneumopericardium,0.0,,,,1.0
541,Retrocardiac opacity is unchanged,0.0,,,,
542,No pneumothorax,0.0,,,,0.0
543,Slight interval improvement of pulmonary vascular congestion and pneumopericardium,1.0,1.0,1.0,1.0,
544,Comparison to ___,0.0,,,,0.0
545,"Unchanged position of the monitoring and support devices, in particular of the Swan-Ganz catheter",0.0,,,,0.0
546,The ventricular assist device is also unchanged,0.0,,,,0.0
547,Unchanged low lung volumes,0.0,,,,0.0
548,Slightly improving pulmonary edema,1.0,1.0,1.0,,
549,No larger pleural effusions,0.0,,,,0.0
550,Increased pulmonary edema with an apical predominance caused by a Trendelenburg positioning as described above,1.0,1.0,1.0,,
551,"Substantially improved pulmonary edema, most pronounced in the right apex",1.0,1.0,1.0,,
552,"As compared to chest radiograph from the same day, there is no evident pneumothorax",0.0,,,,0.0
553,Pulmonary edema has improved,1.0,1.0,1.0,,
554,Retrocardiac large area of atelectasis is unchanged,0.0,,,,1.0
555,No other interval change from prior study,1.0,,,,0.0
556,Support devices in standard position,0.0,,,,0.0
557,There has been placement of a nasogastric tube whose tip and side port are below the GE junction,0.0,,,,0.0
558,There remains a prior feeding tube which is unchanged,0.0,,,,0.0
559,The rest of the lines and tubes are also stable,0.0,,,,0.0
560,Heart size is enlarged,0.0,,,,1.0
561,There is unchanged pulmonary edema and a left retrocardiac opacity,1.0,1.0,1.0,,1.0
562,There are no pneumothoraces,0.0,,,,0.0
563,Tip of the endotracheal tube is 4 cm above the carina,0.0,,,,0.0
564,Rest of the support lines and tubes are unchanged in position,0.0,,,,0.0
565,"There is a persistent left retrocardiac opacity and left-sided pleural effusion, unchanged",0.0,,,,1.0
566,There is unchanged mild pulmonary edema,1.0,1.0,1.0,,
567,There are no pneumothoraces,0.0,,,,0.0
568,Portable semi-upright AP view of the chest was provided,0.0,,,,0.0
569,Underpenetrated technique and low lung volumes limit the evaluation,0.0,,,,0.0
570,"Allowing for this, there is increase in the bilateral pulmonary opacities which could represent pneumonia, multifocal versus atypical pulmonary edema",1.0,1.0,1.0,1.0,1.0
571,Please correlate clinically,0.0,,,,0.0
572,The heart size cannot be assessed,0.0,,,,1.0
573,"The mediastinal contour is widened, though this is unchanged",0.0,,,,1.0
574,No definite acute bony injury,0.0,,,,0.0
575,Comparison is made to prior study from ___,0.0,,,,0.0
576,There are low lung volumes and cardiomegaly which is stable,0.0,,,,1.0
577,There is mild improvement of the pulmonary interstitial edema since the previous study,1.0,1.0,1.0,,
578,There remain opacities within the lung bases and likely bilateral pleural effusions,0.0,,,1.0,1.0
579,There are no large pneumothoraces seen,0.0,,,,0.0
580,The patient is status post coronary artery bypass graft surgery,0.0,,,,0.0
581,The heart appears mildly enlarged,0.0,,,,1.0
582,"The cardiac, mediastinal and hilar contours appear unchanged",0.0,,,,1.0
583,"There is a moderate left-sided pleural effusion, probably with some degree of loculation along the left lateral hemithorax, as well as patchy parenchymal opacity, most likely compatible with atelectasis",0.0,,,,1.0
584,"On the right, there is also a pleural effusion, probably free-flowing and small to moderate in size",0.0,,,,1.0
585,There is also a small pneumothorax on the right,0.0,,,,1.0
586,The distance between the apical visceral pleural edge and the outer chest wall measures about 2,0.0,,,,0.0
587,2 cm,0.0,,,,0.0
588,A mild interstitial abnormality suggests mild pulmonary edema,1.0,1.0,1.0,1.0,
589,Fissures are thickened,0.0,,,,
590,The bones are probably demineralized,0.0,,,,0.0
591,Pneumothorax on the right,0.0,,,,1.0
592,Bilateral pleural effusions,0.0,,,,1.0
593,Interstitial abnormality suggesting mild pulmonary edema,1.0,1.0,1.0,1.0,
594,"Although opacities at the lung bases, greater on the left than right, are probably compatible with atelectasis, underlying infectious process is not entiredly excluded by this examination",0.0,,,1.0,1.0
595,Portable frontal radiograph of the chest demonstrates a stable right pneumothorax,0.0,,,,1.0
596,A small right pleural effusion and the loculated left pleural effusion has increased in size,0.0,,,,1.0
597,Increase in mild enlargement of the cardiac silhouette with mild pulmonary edema,1.0,1.0,1.0,,1.0
598,Lung volumes are low causing crowding of the central bronchovascular structures,0.0,,,,0.0
599,"The heart is mildly enlarged, and there is mild pulmonary vascular congestion",1.0,1.0,1.0,1.0,1.0
600,"There is possible fluid along the right minor fissure, and no focal consolidation or pneumothorax is seen",0.0,,,,0.0
601,Low lung volumes,0.0,,,,0.0
602,Mild cardiomegaly and pulmonary vascular congestion,1.0,1.0,1.0,1.0,1.0
603,Possible small right pleural effusion,0.0,,,,1.0
604,Evaluation is limited by motion,0.0,,,,0.0
605,There has been interval placement of a right internal jugular central venous line which terminates in the proximal SVC,0.0,,,,0.0
606,Lung volumes continue be low with mild pulmonary edema and cardiomegaly seen,1.0,1.0,1.0,,1.0
607,Right internal jugular central venous line terminates in the proximal SVC without procedural complications seen,0.0,,,,0.0
608,"Stable appearance of the chest with low lung volumes, cardiomegaly and pulmonary edema",1.0,1.0,1.0,,1.0
609,No evidence of pneumonia however difficult to exclude superimposed pneumonia without lateral view,0.0,,,,0.0
610,No interval change in cardiomegaly and vascular congestion,1.0,1.0,1.0,,1.0
611,Frontal and lateral views of the chest were obtained,0.0,,,,0.0
612,Dual-lead right-sided pacemaker is seen with leads extending to the expected positions of the right atrium and right ventricle,0.0,,,,0.0
613,"Left retrocardiac basilar opacity is seen, which could be due to atelectasis; however, underlying consolidation due to infection or aspiration is not excluded",0.0,,,,1.0
614,There is no pleural effusion or pneumothorax,0.0,,,,0.0
615,The cardiac silhouette is top normal to mildly enlarged,0.0,,,,0.0
616,The aorta is somewhat tortuous,0.0,,,,0.0
617,"Patchy medial left basilar retrocardiac opacity is nonspecific, could be due to atelectasis, but underlying infection or aspiration not excluded",0.0,,,,1.0
618,2 views of the chest demonstrate a right pacemaker generator with atrial and ventricular leads,0.0,,,,0.0
619,Bibasilar opacities are seen which correlate with areas of consolidation on the concurrently obtained CT of the abdomen and pelvis which may represent atelectasis or infection,0.0,,,1.0,1.0
620,The cardiac and mediastinal contours are normal,0.0,,,,0.0
621,"No pleural abnormality is perceived, although a small left pleural effusion was seen on the concurrently obtained CT of the abdomen and pelvis",0.0,,,,1.0
622,Bibasilar opacities better seen on the CT of the abdomen and pelvis which may represent atelectasis or consolidation,0.0,,,1.0,1.0
623,Small left pleural effusion is better seen on the concurrently obtained abdomen-pelvis CT,0.0,,,,1.0
624,"Mild pulmonary edema, without pleural effusions",1.0,1.0,1.0,,0.0
625,Single portable upright chest radiograph demonstrate save rotated patient,0.0,,,,0.0
626,The heart is mildly enlarged,0.0,,,,1.0
627,Perihilar bilateral patchy opacities as well as indistinct central vessels are most suggestive of pulmonary edema,1.0,1.0,1.0,1.0,
628,There is no large pleural effusion,0.0,,,,0.0
629,Mediastinal and hilar contours are stable relative to prior radiograph dated ___,0.0,,,,1.0
630,Osseous there is demonstrate chronic appearing multiple left-sided rib deformities,0.0,,,,0.0
631,"Cardiomegaly with pulmonary edema, progressed since prior study dated ___",1.0,1.0,1.0,,1.0
632,Heart size is only top normal,0.0,,,,0.0
633,"Nevertheless, worsened moderate pulmonary edema and small pleural effusions are presumably cardiac in origin",1.0,1.0,1.0,,1.0
634,"There is increased density within the right lower lobe, is dependent atelectasis or pneumonia0",0.0,,,,1.0
635,No pneumothorax,0.0,,,,0.0
636,"Worsening pulmonary edema, presumably cardiac",1.0,1.0,1.0,,
637,Emphysema,0.0,,,,
638,Right lower lobe atelectasis or pneumonia,0.0,,,,1.0
639,Recommend follow up radiographs to document clearance with treatment of edema,1.0,1.0,1.0,,
640,"In comparison with study of ___, there is some increase in the bilateral pulmonary opacifications, consistent with worsening pulmonary vascular congestion",1.0,1.0,1.0,1.0,
641,"In the appropriate clinical setting, superimposed pneumonia would be difficult to exclude",0.0,,,,0.0
642,Overall cardiac and mediastinal contours are stable,0.0,,,,1.0
643,There continues to be a diffuse bilateral predominantly interstitial abnormality in the lungs with more focal vague opacity in the left upper peripheral lung,1.0,,,1.0,
644,"When compared to the most recent prior study, there is no significant interval change, although these findings are more pronounced when compared to studies from ___",1.0,,,,0.0
645,"Therefore, these findings favor persistent interstitial edema rather than an infectious process",1.0,1.0,1.0,,0.0
646,Clinical correlation would be advised,0.0,,,,0.0
647,There is a small layering left effusion,0.0,,,,1.0
648,There is overall improved aeration at the right base when compared to more remote studies,0.0,,,,0.0
649,Heart remains enlarged,0.0,,,,0.0
650,Calcification of the aorta consistent with atherosclerosis,0.0,,,,
651,No pneumothorax,0.0,,,,0.0
652,"As compared to the previous radiograph, no relevant change is seen",1.0,,,,0.0
653,"The lung volumes are slightly lower, potentially caused by lower ventilatory pressure",0.0,,,,0.0
654,The tip of the endotracheal tube is in unchanged position,0.0,,,,0.0
655,The tip projects 3 cm above the carina,0.0,,,,0.0
656,The nasogastric tube shows unchanged course and position,0.0,,,,0.0
657,AP view of the chest,0.0,,,,0.0
658,Patient has been extubated,0.0,,,,0.0
659,Moderate cardiomegaly is again seen and the cardiomediastinal and hilar contours are unchanged,0.0,,,,1.0
660,The right lower lobe consolidation slightly increased,0.0,,,,1.0
661,Mild pulmonary edema is unchanged,1.0,1.0,1.0,,
662,Increasing right lower lobe consolidation,0.0,,,,1.0
663,Likely mild pulmonary edema is unchanged,1.0,1.0,1.0,,
664,AP view of the chest,0.0,,,,0.0
665,Right lower lobe consolidation is unchanged,0.0,,,,1.0
666,Mild-to-moderate pulmonary edema is unchanged,1.0,1.0,1.0,,
667,No large pleural effusion,0.0,,,,0.0
668,Cardiomediastinal and hilar contours are stable,0.0,,,,1.0
669,No pneumothorax,0.0,,,,0.0
670,No significant change in right lower lobe consolidation,1.0,,,,1.0
671,Mild-to-moderate pulmonary edema is unchanged,1.0,1.0,1.0,,
672,"As compared to the previous radiograph, there is minimally improved pulmonary edema",1.0,1.0,1.0,,
673,"However, the edema is still moderate in severity",1.0,1.0,1.0,,
674,A right basal atelectasis is unchanged,0.0,,,,1.0
675,"Unchanged size of the cardiac silhouette, with slightly enlarged pulmonary arteries, left more than right, suggesting pulmonary hypertension",0.0,,,,1.0
676,"Again, there is moderate pulmonary edema, not significantly changed from the prior exam",1.0,1.0,1.0,,
677,Right basilar atelectasis is stable,0.0,,,,1.0
678,There is no new consolidation,0.0,,,,1.0
679,There is no pleural effusion or pneumothorax,0.0,,,,0.0
680,The aorta is tortuous and calcified,0.0,,,,
681,The heart is moderately enlarged,0.0,,,,1.0
682,No significant change in the moderate pulmonary edema,1.0,1.0,1.0,,
683,AP portable upright view of the chest,0.0,,,,0.0
684,"In this patient with known COPD plans lung cancer, diffuse interstitial opacities are concerning for edema",1.0,1.0,1.0,1.0,
685,The known pulmonary nodular opacities are better visualized on the prior PET-CT scan,0.0,,,1.0,1.0
686,Small effusions are difficult to exclude,0.0,,,,0.0
687,The heart appears mildly enlarged,0.0,,,,1.0
688,Aortic atherosclerotic calcifications noted,0.0,,,,
689,No acute bony injuries,0.0,,,,0.0
690,Mild cardiomegaly with interstitial pulmonary edema and probable small bilateral pleural effusions,1.0,1.0,1.0,,1.0
691,Pulmonary nodular opacity seen on prior PET-CT scan poorly visualized on this chest radiograph,0.0,,,,1.0
692,AP portable supine view of the chest,0.0,,,,0.0
693,There has been interval intubation with the tip of the endotracheal tube residing approximately 4 cm above the carina,0.0,,,,0.0
694,Mild cardiomegaly and pulmonary interstitial edema persists,1.0,1.0,1.0,,1.0
695,No large effusions are present,0.0,,,,0.0
696,ET tube positioned appropriately,0.0,,,,0.0
697,Persistent cardiomegaly and interstitial pulmonary edema,1.0,1.0,1.0,,1.0
698,"Cardiac silhouette is enlarged, and accompanied by mild pulmonary vascular engorgement, new perihilar haziness and more confluent opacities at the bases, accompanied by small effusions",1.0,,1.0,1.0,1.0
699,"Findings are likely due to perihilar and basilar edema, but superimposed process such as aspiration at the lung bases is also possible",1.0,1.0,1.0,,
700,Followup radiographs may be helpful,0.0,,,,0.0
701,Single frontal view of the chest was obtained,0.0,,,,0.0
702,A tube plus catheter is seen projecting over the right hemithorax,0.0,,,,0.0
703,"There are bilateral pleural effusions with overlying atelectasis, underlying consolidation is difficult to exclude",0.0,,,,1.0
704,Cardiac and mediastinal silhouettes are stable,0.0,,,,1.0
705,Bilateral pleural effusions with overlying atelectasis,0.0,,,,1.0
706,Underlying consolidation not excluded,0.0,,,,1.0
707,The patient has developed a right apical pneumothorax,0.0,,,,1.0
708,The diameter of the pneumothorax is approximately 1 cm,0.0,,,,1.0
709,There is no evidence of tension,0.0,,,,0.0
710,Fiducial seeds are seen in the right upper abdomen,0.0,,,,0.0
711,Previously present pleural effusions are no longer visible,0.0,,,,1.0
712,Normal size of the heart,0.0,,,,0.0
713,Normal hilar and mediastinal contours,0.0,,,,0.0
714,"As compared to the previous radiograph, the extent of the pre-existing right pneumothorax has increased",0.0,,,,1.0
715,The pneumothorax is at least 3 times wider than previously,0.0,,,,1.0
716,"In addition, there is very mild depression of the right hemidiaphragm, potentially suggesting beginning tension",0.0,,,,0.0
717,No other change,1.0,,,,0.0
718,"At the time of dictation and observation, Dr",0.0,,,,0.0
719,"___ was paged for notification, 4:02 p",0.0,,,,0.0
720,", on ___",0.0,,,,0.0
721,"Three frontal views of the chest, all show the complete resolution of the previous moderate right pneumothorax, now with only a tiny apical component",0.0,,,,0.0
722,Pigtail pleural drain unchanged in position in the right lower chest anterolaterally,0.0,,,,0.0
723,Both lungs are clear,1.0,,0.0,,0.0
724,"There is no appreciable pleural effusion, and the cardiomediastinal silhouette is unremarkable",0.0,,,,0.0
725,"As compared to prior chest radiograph from ___, there has been some increase of a small right apical pneumothorax",0.0,,,,1.0
726,A right pleural pigtail catheter remains in unchanged position,0.0,,,,0.0
727,Left lung is clear,0.0,,,,0.0
728,There are no new focal consolidations,0.0,,,,1.0
729,The cardiomediastinal and hilar contours are within normal limits,0.0,,,,0.0
730,Interval increase of a small right apical pneumothorax,0.0,,,,1.0
731,"As compared to prior chest radiograph from ___, there has been interval removal of a right-sided pigtail catheter",0.0,,,,0.0
732,Miniscule collection of right apical air is identified,0.0,,,,0.0
733,There are no pleural effusions,0.0,,,,0.0
734,Cardiomediastinal and hilar contours are within normal limits,0.0,,,,0.0
735,There is calicifaction of the mitral annulus,0.0,,,,0.0
736,Fiducial markers are again noted,0.0,,,,0.0
737,Miniscule collection of right apical air,0.0,,,,0.0
738,Frontal and lateral views of the chest were obtained,0.0,,,,0.0
739,Dual-lead right-sided pacer device is again seen with leads extending to the expected positions of the right atrium and right ventricle,0.0,,,,0.0
740,"Pulmonary edema persists, although appears somewhat improved since the prior study",1.0,1.0,1.0,,
741,There are likely small bilateral pleural effusions,0.0,,,,1.0
742,Cardiac silhouette is slightly less prominent which may be due to differences in technique and patient position,0.0,,,,1.0
743,"Moderate interstitial edema, decreased since the prior study",1.0,1.0,1.0,,
744,Small bilateral pleural effusions,0.0,,,,1.0
745,"In comparison with the earlier study of this date, there is continued and probably worsening pulmonary edema, consistent with clinical history",1.0,1.0,1.0,,
746,"The left hemidiaphragm is poorly seen, suggesting some pleural fluid and volume loss on this side",0.0,,,,1.0
747,Pacer leads are in satisfactory position in this patient with previous CABG procedure and intact midline sternal wires,0.0,,,,0.0
748,"In comparison with study of ___, there are lower lung volumes, though the degree of pulmonary venous congestion has substantially decreased",1.0,,1.0,,0.0
749,Continued enlargement of the cardiac silhouette in a patient with intact midline sternal wires after CABG procedure and a dual-channel pacer device in place,0.0,,,,1.0
750,Comparison is made to prior study from ___,0.0,,,,0.0
751,"There is cardiomegaly, which is stable",0.0,,,,1.0
